feature,low_mean,low_median,high_mean,high_median,mannwhitney_stat,p_value,effect_size
net_charge,4.093698630136986,3.6999999999999993,2.929705215419501,1.1,99615.5,6.043913973314593e-09,-0.23772869878545033
hydrophobicity_mean,-0.4707151330528806,-0.4641379310344828,-0.37743914386142485,-0.3528957528957533,68252.0,0.000201452098546034,0.15196471282576962
fraction_charged,0.2317822705375859,0.2285714285714285,0.246701593124711,0.2371794871794871,71485.0,0.006246273837365049,0.1117944894852918
seq_length,155.17260273972602,133.0,176.90249433106575,100.0,89103.5,0.008788547385682148,-0.10711645388749114
max_homopolymer,10.726027397260275,3.0,2.6258503401360542,3.0,87475.0,0.02051890448402891,-0.08688224148106727
member_count,32.49041095890411,4.0,81.18140589569161,3.0,86027.0,0.08517502158929523,-0.0688907526480913
shannon_entropy,3.900369282020277,4.058732182720427,3.9062182761661917,3.992591672680632,84623.0,0.20827877139209294,-0.05144596651445976
local_complexity,2.8876992547926763,2.9647764815536197,2.942444156481001,2.953364093559913,84052.0,0.27802681055073064,-0.044351256484328916
repeat_fraction,0.0451645217018925,0.0,0.019846032882774086,0.0,83327.0,0.336593283773733,-0.035343087006492135
